Date,Time,BMS- Power,MPSA- Ouput P,Load MFM- Active Power,BMS- State of Charge,DG MFM- Active Power,Irradiation,Solar MFM- Active Power
10-11-2024,05:24:31,0,0,0,10,13.4,0.7,-0.1
10-11-2024,05:25:01,0,0,0,10,13.3,0.8,-0.1
10-11-2024,05:25:31,0,0,0,10,13.3,0.8,-0.1
10-11-2024,05:26:01,0,0,0,10,13.2,0.7,-0.1
10-11-2024,05:26:31,0,0,0,10,13.2,0.7,-0.1
10-11-2024,05:27:01,0,0,0,10,13.3,0.8,-0.1
10-11-2024,05:27:31,0,0,0,10,13.3,0.8,-0.1
10-11-2024,05:28:01,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:28:31,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:29:01,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:29:31,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:30:01,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:30:31,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:31:01,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:31:31,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:32:01,0,0,0,10,11.5,0.6,-0.1
10-11-2024,05:32:31,0,0,0,10,11.5,0.6,-0.1
10-11-2024,05:33:01,0,0,0,10,11.5,0.8,-0.1
10-11-2024,05:33:31,0,0,0,10,11.5,0.8,-0.1
10-11-2024,05:34:01,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:34:31,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:35:01,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:35:31,0,0,0,10,11.5,0.7,-0.1
10-11-2024,05:36:01,0,0,0,10,11.6,0.7,-0.1
10-11-2024,05:36:31,0,0,0,10,11.6,0.7,-0.1
10-11-2024,05:37:01,0,0,0,10,11.1,0.7,-0.1
10-11-2024,05:37:31,0,0,0,10,11.1,0.7,-0.1
10-11-2024,05:38:01,0,0,0,10,11,0.7,-0.1
10-11-2024,05:38:31,0,0,0,10,11.1,0.7,-0.1
10-11-2024,05:39:01,0,0,0,10,11.1,0.7,-0.1
10-11-2024,05:39:31,0,0,0,10,11.1,0.7,-0.1
10-11-2024,05:40:01,0,0,0,10,11.1,0.8,-0.1
